dataset,epochs,reception,proto_len
ArticularyWordRecognition,200,0.25,144
AtrialFibrillation,200,0.9,640
BasicMotions,200,0.5,10
CharacterTrajectories,200,0.5,54
Cricket,200,0.75,119
DuckDuckGeese,200,0.75,2
ERing,200,0.25,65
EigenWorms,200,0.25,179
Epilepsy,200,0.5,206
EthanolConcentration,200,0.5,175
FaceDetection,200,0.9,62
FingerMovements,200,0.5,50
HandMovementDirection,200,0.25,400
Handwriting,200,0.9,45
Heartbeat,200,0.75,405
InsectWingbeat,200,0.25,2
JapaneseVowels,200,0.9,29
LSST,200,0.9,10
Libras,200,0.9,13
MotorImagery,200,0.75,3000
NATOPS,200,0.9,5
PEMS-SF,200,0.5,144
PenDigits,200,0.5,2
PhonemeSpectra,200,0.25,21
RacketSports,200,0.75,9
SelfRegulationSCP1,200,0.25,89
SelfRegulationSCP2,200,0.9,115
SpokenArabicDigits,200,0.5,27
StandWalkJump,200,0.25,250
UWaveGestureLibrary,200,0.5,315
